date,upi_volume,upi_value,Volume_Growth,Value_Growth,Rolling_Mean_Growth,Rolling_Volatility,Trend,Seasonal,Residual
2021-06-01,978.07,21837.51,0.07882110278951271,0.05328421948238482,0.00531187915472079,0.07485516308799041,888.0281152213528,32.374613026078265,57.667271752569036
2021-06-02,981.37,20668.35,0.0033739916365904676,-0.053539071075411115,0.004524422625934817,0.0744521107326361,902.521974749141,42.400444766985416,36.447580483873594
2021-06-03,928.0,19629.84,-0.05438315823797346,-0.0502463912213601,0.004043718487445204,0.07467763134518295,914.3636457996473,-0.3107171009862286,13.947071301338951
2021-06-04,908.24,18987.07,-0.02129310344827584,-0.0327445358698798,0.0037307455118280597,0.07471797113057982,922.8978340481787,-2.882138903554697,-11.77569514462391
2021-06-05,921.2,18465.68,0.014269356117325938,-0.027460266381279408,0.003969314593599289,0.07471310376324175,928.0241925314742,-22.388808083631552,15.56461555215742
2021-06-06,850.62,13881.64,-0.0766174554928355,-0.2482464767070588,0.0029013840084830002,0.07509698442520796,930.4964612434084,-78.37210136557637,-1.5043598778320302
2021-06-07,958.53,20566.61,0.12686040770261697,0.4815691805867319,0.004011499235989782,0.07610406990131771,931.798873372896,29.2861891447616,-2.555062517657575
2021-06-08,959.49,19555.25,0.001001533598322446,-0.049174851859397406,0.004414500914666525,0.07597900874999224,933.0036772831797,35.167179025762515,-8.680856308942225
2021-06-09,959.32,19616.4,-0.00017717745885825753,0.0031270374963245917,0.0029890464789063187,0.07469093338311193,934.2283675014364,37.98283637940409,-12.891203880840521
2021-06-10,960.68,19826.78,0.001417670850185404,0.01072469974103285,0.0030858988732405668,0.0746824683789752,935.355946481446,-1.7926419547844559,27.116695473338382
2021-06-11,948.41,19013.39,-0.012772203022858752,-0.04102481593077645,0.0033446868846944344,0.07458115032737199,936.3594723653805,6.157343774940352,5.893183859679084
2021-06-12,914.84,16646.22,-0.035396083972121684,-0.12450015489084265,0.0026412694314251572,0.07461180320407616,937.1661683260846,-16.648309771733803,-5.677858554350792
2021-06-13,851.65,12899.97,-0.06907218748633648,-0.2250510926805005,0.0019269344202584992,0.07495567111758321,937.6341674791045,-80.46570567858475,-5.518461800519731
2021-06-14,973.72,20359.99,0.14333352903187935,0.5782974689088427,0.003622333435269254,0.07621963312499345,937.5751965052473,31.409607610593234,4.735195884159566
2021-06-15,968.59,19631.73,-0.005268454997329863,-0.035769172774642866,0.0038597236893672584,0.07615391915416965,937.132113867252,26.780638399346703,4.677247733401373
2021-06-16,958.88,19341.99,-0.010024881528820306,-0.014758760435274798,0.0031456905596782014,0.07594362057122575,936.6594131728084,18.104787818703134,4.115799008488466
2021-06-17,914.54,17975.02,-0.04624144835641586,-0.07067370006912432,0.0026296225523972394,0.07610356095506633,936.0644719589219,-0.5258792244032295,-20.998592734518752
2021-06-18,968.15,18847.37,0.05861963391431768,0.04853123946454563,0.0028951853713501865,0.07625349348480089,934.1704504632287,20.03524526249283,13.944304274278466
2021-06-19,923.37,16946.72,-0.046253163249496465,-0.10084430878154338,0.003401263323826188,0.07575102706496283,930.7219130499268,-10.300820610461512,2.9489075605347352
2021-06-20,861.58,12949.17,-0.06691792022699461,-0.23588930483302972,0.0024258391717697923,0.07602445978298376,926.5453575994827,-78.42146782636271,13.456110226880014
2021-06-21,967.74,19694.06,0.12321548782469405,0.5208743108631675,0.0037822058260547253,0.07696108568743183,923.1732473668797,29.82321325088595,14.743539382234417
2021-06-22,937.82,18529.74,-0.03091739516812364,-0.059120364211340815,0.004647527757513644,0.07606548869714824,921.0439167065125,12.761068481458368,4.0150148120292215
2021-06-23,886.08,16920.82,-0.05517050180205152,-0.08682906505973653,0.002676228301188366,0.07501817495019664,919.8780238395476,17.438962509912333,-51.236986349459926
2021-06-24,901.21,17171.85,0.017075207656193525,0.014835569434578089,0.0029476949447901925,0.07502069670206021,920.3852045579955,-5.016758930187701,-14.158445627807737
2021-06-25,935.25,17648.46,0.03777144061872373,0.027755308833934622,0.003219123117034041,0.07509782964410425,924.548011162284,39.97390147916202,-29.271912641445965
2021-06-26,923.18,15638.86,-0.012905640203154323,-0.1138682921909333,0.003113012556068804,0.07511319396050556,933.4881304526937,-11.661054005880251,1.3529235531865424
2021-06-27,853.53,11945.99,-0.07544574189215536,-0.23613421950193303,0.002415262502340427,0.07551860008538626,946.7936258716695,-76.14415207074809,-17.11947380092147
2021-06-28,957.51,19199.12,0.12182348599346238,0.6071602269883032,0.0034994807179066978,0.07645047957006083,963.300456515101,32.000789016358716,-37.79124553145971
2021-06-29,971.64,19122.24,0.014757026036281706,-0.004004350199384055,0.0045510563485984465,0.0758668320739679,981.071181872965,1.1172800883188754,-10.54846196128392
2021-06-30,1051.95,23855.32,0.08265406940842301,0.24751702729387337,0.0046374986416986685,0.07595164965638128,998.1115540436899,8.464004398244347,45.37444155806588
2021-07-01,1052.35,23416.77,0.00038024620942045395,-0.01838373997917442,0.004639468700022701,0.07595153550828179,1013.7790151572813,-6.774202979433549,45.345187822152184
2021-07-02,1081.5,22773.32,0.02769990972585168,-0.027478170558962733,0.00483345221325227,0.0759857475298597,1027.5394127012532,66.6172474044019,-12.656660105655192
2021-07-03,1044.52,20784.0,-0.034193250115580276,-0.08735309563998572,0.004402601044854424,0.07608458865391277,1036.2897290242704,-20.42446688648498,28.65473786221446
2021-07-04,979.48,16400.08,-0.06226783594378271,-0.21092763664357195,0.003585868138529462,0.07635977805257715,1038.731333720778,-82.27070623006675,23.019372509288814
2021-07-05,1092.2,23601.76,0.11508147180136397,0.43912468719664766,0.004975958514910021,0.0771154061158756,1036.2408305797853,27.15992985641176,28.799239563802985
2021-07-06,1027.63,21426.67,-0.05911920893609224,-0.09215795771162827,0.005099601602815552,0.07700140431641793,1031.855401950231,4.9819613244497605,-9.207363274680688
2021-07-07,1150.0,23158.49,0.1190798244504343,0.08082543857725,0.007888738033701308,0.07601189037025784,1026.6424821707149,-5.9353627067064245,129.29288053599157
2021-07-08,953.67,19593.6,-0.17072173913043487,-0.15393447500247226,0.0037621470925129673,0.07436077849522348,1021.0502525801236,-0.07222244978060166,-67.30803013034301
2021-07-09,1151.69,22376.23,0.20763995931506707,0.14201729136044428,0.004997039983501198,0.07669790958160203,1018.0718577383278,95.91177837832826,37.7063638833439
2021-07-10,922.12554,17381.762850373,-0.19932834356467455,-0.22320413892898838,0.004716285222828336,0.07739778624428553,1018.7681695642143,-27.199652109437306,-69.44297745477695
