date,upi_volume,upi_value,Volume_Growth,Value_Growth,Rolling_Mean_Growth,Rolling_Volatility
2024-11-30,5351.71,84697.68,0.029327419637138696,0.09234952634323967,0.0020668926185728963,0.03628094879558954
2024-12-01,5504.49,75107.21,0.02854788469479841,-0.11323179100065062,0.002426026745905565,0.03636428928082585
2024-12-02,5605.05,95915.61,0.01826872244295119,0.27704930059311206,0.0026900218287948417,0.03638269753737693
2024-12-03,5553.85,89993.99,-0.009134619673330291,-0.06173781306296233,0.0025277753336949114,0.03639905052224818
2024-12-04,5619.83,90193.49,0.011880047174482433,0.0022168147006260686,0.0026584828394821424,0.03640902963710576
2024-12-05,5562.69,86499.53,-0.010167567346343276,-0.040955949259752655,0.0027387307615828827,0.036371432961872625
2024-12-06,5480.22,79287.54,-0.014825561014545019,-0.08337605996240682,0.002335247293117644,0.036339913738760256
2024-12-07,5577.86,79101.01,0.01781680297506294,-0.0023525764577889685,0.0025455923395929893,0.03636831267888064
2024-12-08,5496.59,64347.24,-0.014570103946674795,-0.18651809882073567,0.0020642090202128718,0.03627199892428075
2024-12-09,5466.05,86326.84,-0.005556172099428935,0.34157797599399764,0.0016327272811322202,0.03610133901504122
2024-12-10,5513.79,84053.0,0.008733912057152793,-0.026339896143540042,0.0014022112331023107,0.0359802532164129
2024-12-11,5505.84,80326.73,-0.001441839460697647,-0.04433238551866092,0.0013925247521242234,0.03598089358816218
2024-12-12,5333.41,76196.74,-0.03131765543495635,-0.051414890161718185,0.0009871495745917825,0.03611990433221989
2024-12-13,5411.65,74454.16,0.014669789121781296,-0.022869482342682934,0.0009052918766552776,0.03607909641826835
2024-12-14,5388.81,68218.53,-0.0042205242393723585,-0.08375126386490706,0.0008655502345670407,0.03608256642567198
2024-12-15,5357.74,57635.58,-0.0057656514146908755,-0.15513307014970856,0.0007482978125208307,0.03608489669221932
2024-12-16,5378.44,76984.49,0.0038635693408040073,0.33571120478010297,0.0013113570470455538,0.035683600207619105
2024-12-17,5372.01,77394.28,-0.001195513940845161,0.005323020260314726,0.001524193402786903,0.03560365140197494
2024-12-18,5342.22,73236.05,-0.005545410377121418,-0.05372787239573773,0.0011256899990291158,0.03545574869428234
2024-12-19,5354.3,74296.62,0.0022612322218102943,0.014481529246866742,0.0010888048535774542,0.035452597932014975
2024-12-20,5352.75,73223.48,-0.00028948695441055605,-0.0144439948950571,0.0010243790425923471,0.035449155637614235
2024-12-21,5379.54,68924.5,0.005004904021297385,-0.05871040272874217,0.0013811535398134268,0.03530617046869496
2024-12-22,5285.35,54933.41,-0.017508931990467547,-0.2029915342149743,0.0010234907905875424,0.03531464327608669
2024-12-23,5282.19,75243.27,-0.0005978790430152259,0.3697178092530575,0.0009831955723734874,0.0353141666447763
2024-12-24,5269.66,71475.66,-0.002372122169024493,-0.05007238521132851,0.0012549637230724498,0.03518114845376422
2024-12-25,5174.29,61906.4,-0.01809794180269697,-0.13388138003902306,0.0011199201364092194,0.03522970985939615
2024-12-26,5183.96,71169.36,0.0018688554371710797,0.14962847136968072,0.001614264296460849,0.034884797487515905
2024-12-27,5085.77,68528.35,-0.01894111837282686,-0.03710880637397884,0.0007802985791623884,0.0343602306102149
2024-12-28,5149.14,64526.76,0.01246025675561424,-0.05839320514794244,0.0008739677556856073,0.03437936208300504
2024-12-29,5112.26,53660.5,-0.007162361093308811,-0.16839928116644942,0.0008105529643402421,0.03438836735258257
2024-12-30,5252.9,78391.76,0.02751033789361257,0.46088389038491995,0.0011890405158231931,0.03447260291240844
2024-12-31,5947.44,93147.85,0.13222029735955387,0.18823521757899053,0.0026038110215032884,0.03686004007918123
2025-01-01,5684.29,81015.79,-0.044245927659631645,-0.13024519621225839,0.0021963965447601864,0.03715223677608016
2025-01-02,5652.23,94429.32,-0.005640106328143046,0.16556686048485125,0.00226984515291633,0.0371291737174553
2025-01-03,5594.45,86371.9,-0.010222513945823075,-0.08532752327349191,0.002192845477704061,0.03714719257129761
2025-01-04,5623.49,87686.56,0.0051908587975582066,0.015220922545411186,0.0022607754441415907,0.03714639376631644
2025-01-05,5569.97,70700.73,-0.009517221511908036,-0.19371075795424064,0.0018861424611350008,0.03707357603119226
2025-01-06,5596.41,92101.54,0.004746883735459839,0.30269574302839586,0.0018975707386865671,0.03707428708013759
2025-01-07,5583.26,86148.85,-0.002349720624471696,-0.06463181831704434,0.0022431108719513605,0.036869457388960504
2025-01-08,5729.69,86474.61,0.026226613125664766,0.003781362142385003,0.0013902811458544762,0.03526804229495991
2025-01-09,5681.22,85038.14,-0.008459445449928271,-0.016611465492587962,0.0010055404440313686,0.035162323076872996
2025-01-10,5787.6,86039.63,0.018724851352350358,0.011776950906969619,0.00122557740255555,0.03520406367878313
2025-01-11,5682.68,76848.16,-0.018128412468035093,-0.10682833015437188,0.0009795470310280695,0.03525294674733182
2025-01-12,5670.88,63403.0,-0.002076485038749354,-0.17495747458364652,0.001021561582722399,0.03524671298828566
2025-01-13,5556.74,78541.07,-0.020127387636486804,0.23875952242007492,0.0007744015810370152,0.035308051599184695
2025-01-14,5226.89,66339.87,-0.059360344374579266,-0.15534802365182965,0.0003920429689914695,0.03575183812076482
2025-01-15,5335.38,72564.96,0.02075612840522756,0.09383633100275923,0.00031992939559691736,0.035702894354978955
