bank,market_share,market_share_squared,HHI
jammu and kashmir bank ltd jkb,2.857356340790133e-05,8.164485258253578e-10,0.10041754106594854
vasai vikas sahakari bank,2.8247970287002463e-05,7.97947825335374e-10,0.10041754106594854
sadhana sahakari bank,2.7175726168537584e-05,7.385200927873385e-10,0.10041754106594854
jila sahakari kendriya bank mydt durg,2.6821502006781714e-05,7.193929698997956e-10,0.10041754106594854
darussalam cooperative urban bank,2.669828329143736e-05,7.127983307098434e-10,0.10041754106594854
model coop bank,2.6630750089216424e-05,7.091968503143006e-10,0.10041754106594854
gadchiroli district central coop bank,2.6415431240941747e-05,6.977750076449212e-10,0.10041754106594854
baroda central coop bank,2.6206385728150934e-05,6.867746529326329e-10,0.10041754106594854
dhanera mercantile coop bank,2.6135385761788462e-05,6.830583889174951e-10,0.10041754106594854
the mehsana district central co op bank,2.4962147109541416e-05,6.231087883183868e-10,0.10041754106594854
the nalgonda dist coop central bank,2.4931046014471434e-05,6.21557055375692e-10,0.10041754106594854
sant sopankaka sahakari bank,2.4333760507944365e-05,5.921319004579928e-10,0.10041754106594854
the banaskantha mercantile cooperative bank,2.428887394632499e-05,5.899493975804648e-10,0.10041754106594854
rajarambapu sahakari bank ltd peth,2.3223418761750903e-05,5.393271789836439e-10,0.10041754106594854
dattatray maharaj kalambe jaoli sahakari bank,2.3128805886507486e-05,5.349416617357434e-10,0.10041754106594854
vikas souharda cooperative bank,2.3078331712176222e-05,5.326093946172387e-10,0.10041754106594854
dharmapuri district central coop bank,2.2581740513665774e-05,5.099350046265341e-10,0.10041754106594854
the muslim cooperative bank ltd pune,2.2455156179421268e-05,5.042340390422012e-10,0.10041754106594854
saraspur nagrik coop bank,2.196845766268779e-05,4.826131320773059e-10,0.10041754106594854
the vijayapura district central cooperative bank ltd vijayapura,2.194448100584726e-05,4.815602466159911e-10,0.10041754106594854
the bellary dist cooperative central bank,2.191365194133893e-05,4.802081414061474e-10,0.10041754106594854
the kolhapur urban coop,2.1913255105187156e-05,4.801907493050109e-10,0.10041754106594854
ambajogai peoples cooperative bank,2.150367483080221e-05,4.624080312288765e-10,0.10041754106594854
smriti nagrik sahakari bank maryadit mandsaur,2.13894052972454e-05,4.5750665896982954e-10,0.10041754106594854
svc co operative bank,2.1381713160772625e-05,4.5717765768955725e-10,0.10041754106594854
the meghalaya cooperative apex bank,2.1313449939354587e-05,4.542631483173741e-10,0.10041754106594854
jila sahkari kendriya bank maryadit khargone,2.121895085425227e-05,4.502438753551732e-10,0.10041754106594854
sunderlal sawji urban coop bank ltd jintur,2.1168152482250514e-05,4.4809067951180863e-10,0.10041754106594854
deendayal nagri sahakari bank,2.105226958339548e-05,4.431980546119585e-10,0.10041754106594854
sharad sahakari bank,2.0904380764129182e-05,4.3699313513169415e-10,0.10041754106594854
kanaka mahalakshmi cooperative bank,2.0750981259889278e-05,4.30603223248276e-10,0.10041754106594854
shri veershaiv cooperative bank,1.9869672223070783e-05,3.948038742522706e-10,0.10041754106594854
adarsh cooperative bank rajasthan,1.8812975389774312e-05,3.539280430162539e-10,0.10041754106594854
nutan nagarik sahakari bank,1.8779695245703362e-05,3.5267695352149344e-10,0.10041754106594854
the chamba urban cooperative bank,1.8767018938196025e-05,3.5220099982660825e-10,0.10041754106594854
ambarnath jai hind co operative bank,1.814584016081607e-05,3.292715151418854e-10,0.10041754106594854
tjsb sahakari bank,1.77338361236832e-05,3.144889436616512e-10,0.10041754106594854
the bharat coop bank mumbai,1.771205921673097e-05,3.137170416969845e-10,0.10041754106594854
poornawdi nagrik sahakari bank,1.7561055967623907e-05,3.0839068669801926e-10,0.10041754106594854
sarvodaya commercial coop bank,1.7547029788209256e-05,3.0789825438830296e-10,0.10041754106594854
saibaba nagari sahakari bank maryadit sailu,1.7481117731947086e-05,3.0558947715819483e-10,0.10041754106594854
associate coop bank,1.736736684162169e-05,3.0162543101146056e-10,0.10041754106594854
arvind sahakari bank,1.706794149832201e-05,2.913146269901426e-10,0.10041754106594854
jalna merchants coop bank ltd jalna,1.6953458562023238e-05,2.8741975721423906e-10,0.10041754106594854
bhadradri cooperative urban bank,1.6872215056374276e-05,2.8467164090854285e-10,0.10041754106594854
citizen credit cooperative bank,1.6773496425641727e-05,2.813501823410158e-10,0.10041754106594854
krishna bhima samruddhi local area,1.647107889571661e-05,2.7129643998892105e-10,0.10041754106594854
the karnavati co operative bank,1.581601547152404e-05,2.5014634539548783e-10,0.10041754106594854
shri warana sahakari bank,1.5740534567597465e-05,2.477644284737307e-10,0.10041754106594854
mahesh sahakari bank,1.52676797057039e-05,2.331020435959627e-10,0.10041754106594854
the tiruchirappalli district central cooperative bank,1.5088688793059017e-05,2.276685294937848e-10,0.10041754106594854
mehsana urban coop,1.4987730665589287e-05,2.246320705042455e-10,0.10041754106594854
the varachha coop bank,1.483835738767636e-05,2.2017684996440964e-10,0.10041754106594854
the adilabad district coop central bank,1.4272984311277054e-05,2.0371808114996094e-10,0.10041754106594854
the city cooperative bank,1.3915319621390374e-05,1.9363612016545194e-10,0.10041754106594854
vaishya nagari sahakari bank,1.3727724816890798e-05,1.884504286482795e-10,0.10041754106594854
the chembur nagrik sahakari bank,1.3386122123013462e-05,1.7918826549223045e-10,0.10041754106594854
the urban co operative bank,1.337822861115421e-05,1.7897700077230513e-10,0.10041754106594854
the chennai central cooperative bank,1.3257285400577981e-05,1.757556161923781e-10,0.10041754106594854
fingrowth cooperative bank,1.3252355118754911e-05,1.7562491619358948e-10,0.10041754106594854
mumbai distcentral coopbank,1.316775913254823e-05,1.733898805728073e-10,0.10041754106594854
tripura state co operative bank,1.3148805494936549e-05,1.7289108594367358e-10,0.10041754106594854
janata sahakari bank ltdpune,1.2985374629746006e-05,1.6861995427485123e-10,0.10041754106594854
akhand anand coop bank,1.2911689302630618e-05,1.6671172064766595e-10,0.10041754106594854
ahmedabad district coop bank,1.263526834422754e-05,1.5965000613063858e-10,0.10041754106594854
the abhinav sahakari bank,1.2618624235415798e-05,1.5922967759462294e-10,0.10041754106594854
the chittoor district coop central bank,1.2580808674913823e-05,1.5827674691478691e-10,0.10041754106594854
urban cooperative bank ltd bareilly,1.253402396023888e-05,1.5710175663584235e-10,0.10041754106594854
pavana sahakari bank ltd pune,1.2442279481498036e-05,1.5481031869570702e-10,0.10041754106594854
dindigul district central,1.2329670021100561e-05,1.5202076282922592e-10,0.10041754106594854
the kottakkal cooperative urban bank,1.2062553394907919e-05,1.4550519440500456e-10,0.10041754106594854
the satara sahakari bank,1.2004729921496435e-05,1.441135404880718e-10,0.10041754106594854
the panipat urban cooperative bank,1.1962816193549235e-05,1.431089712806438e-10,0.10041754106594854
tirupati urban cooperative bank,1.1914521803699031e-05,1.419558298108196e-10,0.10041754106594854
the district central co op bank ltd khammam,1.1841894359882598e-05,1.402304620306193e-10,0.10041754106594854
pusad urban coop bank,1.172928070923689e-05,1.3757602595607666e-10,0.10041754106594854
sbpp,1.1688919523464336e-05,1.3663083962602574e-10,0.10041754106594854
bhavnagar district co operative bank,1.1657824659661983e-05,1.3590487579542302e-10,0.10041754106594854
salem district central,1.1610110422751872e-05,1.3479466402849165e-10,0.10041754106594854
lonavala sahakari bank,1.1461064308494947e-05,1.3135599508345675e-10,0.10041754106594854
pune cantonment sahakari bank,1.1380943846010539e-05,1.2952588282604516e-10,0.10041754106594854
the eenadu coopurban bank,1.1380844633865876e-05,1.2952362458019372e-10,0.10041754106594854
hutatma sahakari bank ltd walwa,1.1341037242665717e-05,1.286191257395308e-10,0.10041754106594854
kancheepuram central,1.131870502267199e-05,1.2811308339026013e-10,0.10041754106594854
the nandura urban coop bank ltd nandura,1.125103171216233e-05,1.265857145880824e-10,0.10041754106594854
the maharashtra state,1.1246616637777424e-05,1.2648638579713198e-10,0.10041754106594854
palus sahakari bank,1.1097059866710077e-05,1.2314473768534748e-10,0.10041754106594854
vellore district central,1.1011778095477522e-05,1.2125925682403855e-10,0.10041754106594854
the coimbatore district central coop,1.0817430188250143e-05,1.1701679587766553e-10,0.10041754106594854
sangli district central cooperative bank,1.0731310184791287e-05,1.151610182822052e-10,0.10041754106594854
the akola janata commercial cooperative bank,1.0727084376396062e-05,1.1507033921832049e-10,0.10041754106594854
the new urban cooperative bank ltd rampur,1.069396042348151e-05,1.1436078953898884e-10,0.10041754106594854
new india coopbank,1.0592765622742738e-05,1.1220668353836035e-10,0.10041754106594854
prerana co operative bank,1.0493903422596495e-05,1.1012200904278243e-10,0.10041754106594854
the malad sahakari,1.0350260147832839e-05,1.0712788512781666e-10,0.10041754106594854
muzaffarnagar district cooperative bank,1.0153927289929718e-05,1.0310223940917947e-10,0.10041754106594854
chhattisgarh rajya sahakari bank mydt,1.0040793732573502e-05,1.0081753878008731e-10,0.10041754106594854
abhyudaya cooperative bank,9.976380565910954e-06,9.952816919588577e-11,0.10041754106594854
the burdwan central co op bank,9.93913563935924e-06,9.878641725758103e-11,0.10041754106594854
jalore nagrik sahakari bank,9.91914414955103e-06,9.838942065957241e-11,0.10041754106594854
shri arihant coop bank,9.711056282195087e-06,9.430461411596065e-11,0.10041754106594854
the sarvodaya sahkari bank,9.67900202906039e-06,9.368308027855514e-11,0.10041754106594854
uttar pradesh cooperative bank,9.50622844495641e-06,9.036837924769835e-11,0.10041754106594854
bnp paribas bnp,9.485499865510625e-06,8.997470769860209e-11,0.10041754106594854
jogindra central cooperative bank,9.45621578089491e-06,8.942001689484592e-11,0.10041754106594854
samarth sahakari bank maryadit jalna,9.40485130915281e-06,8.845122814727333e-11,0.10041754106594854
bassein catholic coop bank,9.390901429345473e-06,8.818902965568284e-11,0.10041754106594854
pune district central co op bank ltd pdcc,9.381827156914306e-06,8.801868080221477e-11,0.10041754106594854
janata sahakari bank ltd ajara,9.377814551833524e-06,8.79434057685806e-11,0.10041754106594854
the tiruvannamalai district central coop bank,9.287970637321362e-06,8.626639855974378e-11,0.10041754106594854
pune urban coop bank,9.278001020087103e-06,8.608130292873732e-11,0.10041754106594854
