entity name,remitter_volume,remitter_value,beneficiary_volume,beneficiary_value,avg_remitter_ticket,avg_beneficiary_ticket,total_volume,avg_ticket,bank_segment
bharat heavy electricals employees coop bank,0.00129,2.570758968,0.00236,2.5604895,1992.8364093023256,1084.9531779661017,0.00365,1538.8947936342138,Niche / Regional Bank
bharathiya sahakara bank niyamitha,0.0,0.0,0.0024,0.5159335,,214.9722916666667,0.0024,,Niche / Regional Bank
bharati sahakari bank,0.03451,54.90492411,0.10384,72.03564251,1590.9859203129529,693.7176666987674,0.13835,1142.35179350586,Universal Bank
bhausaheb birajdar nagri sahakari,0.00074,0.7100197,0.00092,0.203128,959.4860810810811,220.79130434782607,0.00166,590.1386927144536,Niche / Regional Bank
bhausaheb birajdar urban cooperative bank ltd omerga,2.5644,57.780472683,1.98989,55.995154136,22.531770660973326,28.139823877701783,4.55429,25.335797269337554,Universal Bank
bhausaheb sahakari bank ltd udgir,2.5819,87.212265438,2.14845,72.272610294,33.778328145164416,33.6394192529498,4.73035,33.70887369905711,Universal Bank
bhavani urban co op bank ltd georai dist beed,0.0,0.0,0.00421,2.1935846,,521.0414726840854,0.00421,,Niche / Regional Bank
bhavani urban cooperative bank ltd georai,5.44124,101.468765862,3.38397,90.660558189,18.648095996868363,26.791182601796113,8.82521,22.719639299332236,Universal Bank
bhavna rishi co operative urban bank,11.7944,266.4685716,8.02147,272.11025433,22.59280434782609,33.92274163339138,19.81587,28.257772990608736,Universal Bank
bhavnagar district co operative bank,21.02428,487.81906506999997,10.12928,391.11457353000003,23.20265260308557,38.61227782527485,31.15356,30.907465214180213,Universal Bank
bhilai nagrik sahakari bank ltd maryadit,0.0,0.0,0.00135,1.0612341,,786.0993333333333,0.00135,,Niche / Regional Bank
bhind nagrik sahakari bank maryadit bhind,0.0,0.0,0.00059,0.5896083,,999.3361016949152,0.00059,,Niche / Regional Bank
bhingar urban co op bank,0.00958,17.43819482,0.02548,17.20077852,1820.2708580375784,675.0698006279436,0.03506,1247.670329332761,Corporate Bank
bhingar urban cooperative bank,6.73673,135.89103039,4.20875,146.52639832399998,20.17166049255351,34.81470705648945,10.94548,27.493183774521484,Universal Bank
bhopal coop central,0.01129,25.54967435,0.02803,45.1115634,2263.0358148804253,1609.402904031395,0.03932,1936.2193594559103,Corporate Bank
bhuj mercantile coop bank,0.0,0.0,0.06957,31.64700974,,454.8944910162426,0.06957,,Niche / Regional Bank
bicholim urban coop,0.05304,14.57223791,0.06716,28.98022675,274.7405337481147,431.5102255807028,0.1202,353.12537966440874,Universal Bank
bilagi pattan sahakari bank niyamit,0.0,0.0,0.00061,2.2403466,,3672.699344262295,0.00061,,Niche / Regional Bank
bilaspur nagrik sahakari bank,0.0,0.0,0.00356,2.19093581,,615.4314073033709,0.00356,,Niche / Regional Bank
birbhum district central cooperative bank,0.0005,0.40562371,0.0017,1.8985651,811.24742,1116.803,0.0021999999999999997,964.02521,Niche / Regional Bank
birdeo sahakari bank,0.00141,0.95952535,0.0017,1.3588495,680.5144326241135,799.3232352941177,0.00311,739.9188339591155,Niche / Regional Bank
bnp paribas bnp,0.09176,396.91862,0.02551,89.4720939,4325.617044463818,3507.3341395531165,0.11727,3916.475592008467,Universal Bank
bombay mercantile co operative bank,96.20923,1807.6132876400002,62.260239999999996,1780.21012548,18.788356248563677,28.593049520528673,158.46947,23.690702884546177,Universal Bank
bombay mercantile coop bank lt,0.23671,221.5693453,0.44127,223.6161645,936.0371141903595,506.7558739547216,0.67798,721.3964940725406,Universal Bank
brahmadeodada mane sah bk,0.01354,15.33408148,0.02102,10.00386932,1132.5023249630724,475.921470980019,0.03456,804.2118979715457,Corporate Bank
brahmadeodada mane sahakari bank ltd solapur,18.81424,286.729991237,8.92091,205.291916825,15.24005175000425,23.01244119994485,27.73515,19.12624647497455,Universal Bank
brahmapuri urban coop bank,0.0,0.0,0.00319,1.9516826,,611.8127272727272,0.00319,,Niche / Regional Bank
budaun zila sahkari bank,0.00024,0.248146804,0.00071,0.9059316,1033.9450166666666,1275.9599999999998,0.00095,1154.9525083333333,Niche / Regional Bank
business coop bank,0.06338,38.84517774,0.10034,56.4882619,612.8933060902492,562.9685260115607,0.16372,587.9309160509049,Universal Bank
calicut co op urban bank,0.0,0.0,0.00427,3.657230494,,856.4942608899297,0.00427,,Niche / Regional Bank
canara,136592.27935,1829021.97324,71800.91122,1587843.40374,13.39037595641382,22.114529979637773,208393.19056999998,17.752452968025796,Universal Bank
canara bank credit card,341.11926,4684.3492869,1.83288,31.836618143,13.732292005147995,17.36972313681201,342.95214,15.551007570980001,Universal Bank
capital small finance,0.25654,290.0595782,0.33862,318.3037488,1130.6602408981055,940.0028019609001,0.5951599999999999,1035.3315214295028,Universal Bank
capital small finance bank,258.33038,5234.7836758,122.24293,4699.92658,20.263910407285433,38.44743070212731,380.57331,29.35567055470637,Universal Bank
central bank of india,39833.0742,613447.193034,20827.73864,505186.657833,15.400448128957116,24.255473268844515,60660.81284,19.827960698900817,Universal Bank
central co operative bank,0.0,0.0,0.00038,0.4352084,,1145.2852631578946,0.00038,,Niche / Regional Bank
cg rajya sahakari bank,0.00678,8.471489207,0.00969,12.81349643,1249.4821839233039,1322.3422528379772,0.01647,1285.9122183806405,Niche / Regional Bank
chaitanya godavari grameena,1400.21384,17596.17881218,721.56663,16787.109187449998,12.566779665725916,23.264808112661747,2121.7804699999997,17.915793889193832,Universal Bank
chaitanya mahila sahakari bank ltd vijayapur,1.04227,27.117921308,0.72157,25.3118749,26.01813475203162,35.0788903363499,1.76384,30.54851254419076,Universal Bank
chamoli zila sahakari bank,0.00335,3.651372616,0.01252,13.4138135,1089.9619749253732,1071.390854632588,0.01587,1080.6764147789804,Niche / Regional Bank
chartered sahakari bank niyamitha,9.93441,188.734628541,4.19094,196.454083789,18.998071203121274,46.875899867094255,14.125350000000001,32.936985535107766,Universal Bank
chattisgarh rajya gramin,2029.56727,20421.0677857,1010.4005500000001,15431.7368502,10.061784148549066,15.272890390053727,3039.96782,12.667337269301395,Universal Bank
chennai central coop bank,0.03618,37.78955691,0.04253,40.18443654,1044.487476782753,944.8492015048201,0.07871,994.6683391437866,Universal Bank
chhani nagarik sahakari bank,0.00832,6.952504788,0.01524,7.0641424,835.6375947115386,463.52640419947505,0.023559999999999998,649.5819994555068,Niche / Regional Bank
chhattisgarh rajya sahakari bank mydt,20.17102,420.15476765,6.44718,182.593089799,20.829624265406512,28.32138854491421,26.618199999999998,24.57550640516036,Universal Bank
chikmagalur pattana sahakara bank niyamitha,0.0,0.0,0.00041,0.6642097,,1620.0236585365853,0.00041,,Niche / Regional Bank
chitnavispura coop bank,0.0113,9.045000973,0.04016,18.26959861,800.442563982301,454.9202841135458,0.05146,627.6814240479234,Niche / Regional Bank
chittorgarh urban co operative bank,3.8761799999999997,53.035200279,2.39404,65.424584772,13.682336805566306,27.32810845766988,6.27022,20.505222631618093,Universal Bank
chittorgarh urban coop bank,0.0,0.0,0.00604,3.812282374,,631.1725784768212,0.00604,,Niche / Regional Bank
churu zila urban co operative,0.0,0.0,0.00235,0.8568178,,364.6033191489361,0.00235,,Niche / Regional Bank
citi,2.99729,4237.672818,0.4019,1610.013253,1413.8347700756349,4006.004610599652,3.39919,2709.9196903376433,Universal Bank
citibank corporate,116.63219,52.264892466999996,3302.22073,12360.444467199999,0.4481172176137651,3.743070338971556,3418.85292,2.0955937782926606,Universal Bank
citizen co op,0.0,0.0,0.0168,4.043315999,,240.67357136904764,0.0168,,Niche / Regional Bank
citizen cooperative bank,12.52286,302.4554743,6.79222,338.69001689000004,24.15226827577726,49.86440617206157,19.315080000000002,37.00833722391941,Universal Bank
citizen cooperative bank ltd noida,20.591,265.43764801,9.43755,218.188578364,12.890954689427417,23.11919707593602,30.028550000000003,18.00507588268172,Universal Bank
citizen credit coopbank,0.16395,94.44773221,0.31725,126.75573,576.0764392192741,399.5452482269504,0.48119999999999996,487.81084372311227,Universal Bank
citizen credit cooperative bank,71.29186,701.88320576,25.62399,624.6644603,9.845208215355862,24.378110524551406,96.91585,17.111659369953635,Universal Bank
citizen urban,0.02205,14.76785981,0.03154,21.10154296,669.7442090702947,669.0406772352568,0.05359,669.3924431527757,Universal Bank
citizens urban co operative,0.0,0.0,0.00122,1.383485,,1134.004098360656,0.00122,,Niche / Regional Bank
city co operative bank,0.0,0.0,0.00046,0.2046969,,444.9932608695652,0.00046,,Niche / Regional Bank
city union,8180.91587,144650.849453,4827.06769,131156.944188,17.681498227288333,27.171142526074664,13007.98356,22.4263203766815,Universal Bank
city union bank,4.1445,3531.023048,3.39898,3225.844227,851.9780547713838,949.0624325532955,7.54348,900.5202436623397,Universal Bank
coastal area local,147.43386,2435.8360911,82.07602,2304.0024727,16.521551366151574,28.07156673410821,229.50988,22.296559050129893,Universal Bank
coastal local area bank,0.011,21.92372323,0.02521,18.87159099,1993.0657481818182,748.5756045220152,0.03621,1370.8206763519167,Corporate Bank
col rd nikam sainik sahakari bank,0.0,0.0,0.00668,3.572517268,,534.807974251497,0.00668,,Niche / Regional Bank
commercial coop,0.00481,4.373714779,0.0098,9.472311594,909.2962118503119,966.5624075510206,0.01461,937.9293097006662,Niche / Regional Bank
commercial coop bank,0.11385999999999999,101.16121607,0.14357,85.9056046,888.4701920779905,598.3534484920248,0.25743,743.4118202850077,Universal Bank
contai,0.00556,7.356293736,0.01136,8.851828157,1323.0744129496402,779.2102250880281,0.01692,1051.142319018834,Niche / Regional Bank
contai cooperative bank,8.8181,178.425295669,5.48105,207.340762772,20.23398415406947,37.82865742366882,14.29915,29.031320788869145,Universal Bank
coop bank of baroda,0.0,0.0,0.00011,0.0345966,,314.51454545454544,0.00011,,Niche / Regional Bank
credit agricole corporate and investment,0.00218,19.54736477,0.00178,3.184645444,8966.681087155963,1789.1266539325843,0.00396,5377.903870544274,Corporate Bank
csb,1717.75161,29183.2707267,796.00441,26315.422585700002,16.989226240166353,33.05939295700636,2513.75602,25.024309598586356,Universal Bank
cuddalore district central coop,21.24165,220.786704273,10.13252,232.656767244,10.394046803002592,22.961392352938855,31.37417,16.677719577970723,Universal Bank
cuttack central cooperative bank,0.00046,0.653471563,0.00196,2.7106876,1420.590354347826,1383.0038775510204,0.00242,1401.7971159494232,Niche / Regional Bank
dadasaheb ramroa patil cooperative bank,0.0,0.0,0.00611,2.1828301,,357.25533551554827,0.00611,,Niche / Regional Bank
dahanu road janata coop bank,0.00719,3.138011403,0.01691,7.0050423,436.44108525730184,414.25442341809577,0.024100000000000003,425.3477543376988,Niche / Regional Bank
dahod urban cooperative bank,20.06462,330.46553982,15.00661,397.86574444999997,16.470062219967286,26.51269970033205,35.07123,21.49138096014967,Universal Bank
daivadnya sahakara bank niyamit,1.8973,28.881336177,0.81647,35.805457835,15.222334990249303,43.85397851115166,2.7137700000000002,29.53815675070048,Universal Bank
daivadnya sahakara bank niyamit karnataka,0.0043,2.300440269,0.0066,4.503209691,534.9861090697675,682.3044986363637,0.0109,608.6453038530656,Niche / Regional Bank
dakshin bihar gramin,1297.98206,17391.99209385,868.57124,17336.58114692,13.399254604374116,19.95988394333665,2166.5533,16.679569273855382,Universal Bank
dakshin bihar gramin erstwhile madhya bihar gramin,728.05675,9954.090455,500.43646,10337.757593,13.672135386424204,20.657482856065283,1228.49321,17.164809121244744,Universal Bank
dakshin dinajpur district central,0.00276,1.79936662,0.00454,3.006902838,651.944427536232,662.3134004405287,0.007299999999999999,657.1289139883803,Niche / Regional Bank
dapoli urban coop bank ltd dapoli,0.01417,8.361669931,0.02606,6.6280605,590.0966782639379,254.3384689178818,0.04023,422.21757359090986,Retail Bank
darjeeling district central cooperative bank,0.00208,2.806940033,0.00329,2.3320932,1349.4904004807693,708.8429179331307,0.00537,1029.16665920695,Niche / Regional Bank
darussalam cooperative urban bank,89.38386,1117.18369202,46.43779,1113.88979187,12.498718359444313,23.98670978679218,135.82165,18.242714073118247,Universal Bank
dattatray maharaj kalambe jaoli sahakari bank,68.78006,967.81970849,33.21816,946.51900212,14.071225126730043,28.494022610523885,101.99822,21.282623868626963,Universal Bank
