month_year,remitter_volume,remitter_value,beneficiary_volume,beneficiary_value
2024-04-01,,,,
2024-05-01,5.500972114088443,4.096410453151456,5.500972114088443,4.096410453145705
2024-06-01,-1.0736868458844806,-1.851198795122977,-1.0736868458845028,-1.8511987924938578
2024-07-01,3.964035801722443,2.8504681325299597,3.9640358017224653,2.8504681325299597
2024-08-01,3.6541237004135807,-0.17230310893794343,3.6541237004135807,-0.17230310893793233
2024-09-01,0.5259623925528034,0.15815420704365923,0.5259623925528034,0.15815420704363703
2024-10-01,10.259572907322534,13.848230744738688,10.259572907322534,13.848230744738688
2024-11-01,-6.650267175706004,-8.282929315789577,-6.650267175706004,-8.282929320788057
2024-12-01,-99.67280920541548,-72.72260552070291,-99.67280920541548,-72.72260552095096
2025-01-01,33451.96833630867,299.4082503806722,33451.96833630868,299.40825041427075
2025-02-01,-5.235397933124308,-6.454558010774958,-5.235397933124308,-6.454558014351952
2025-03-01,13.63025819504935,12.781344430862074,13.630258195049372,12.781344430159681
2025-04-01,-2.229787124918181,-3.3220974772643297,-2.229787124918192,-3.322097476919983
2025-05-01,4.38170360130794,4.984335410439367,4.38170360130794,4.984335414762353
2025-06-01,-1.5122763318954568,-4.389549879543974,-1.5122763318954568,-4.389549885609467
2025-07-01,5.832790057243753,4.34985140853259,5.832790057243753,4.349851419005368
2025-08-01,2.77565382777909,-0.9178877673827968,2.77565382777909,-0.9178877643758687
2025-09-01,-1.873608962535489,0.1715414528040471,-1.873608962535489,0.1715414458687281
2025-10-01,5.437091368596247,9.561421127317749,5.437091368596225,9.561421124193558
