entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%
punjab gramin,12637.60146,11326.01608,0.030201145,0.027066732
dcb bank,12567.44762,12474.59775,0.030033492,0.029811594
g p parsik sahakari bank,12461.70895,8832.5731,0.0297808,0.021107942
prathama up gramin erstwhile sarva up gramin,12217.23911,12018.88374,0.029196569,0.028722536
janata sahakari,11657.5199,9767.275421,0.027858961,0.023341679
uttarakhand gramin bank imps,11437.16803,9597.706566,0.027332367,0.022936446
suryoday small finance,11388.81287,30200.3233,0.027216809,0.07217225
north east small finance,11366.75233,10569.96351,0.027164089,0.02525993
idfc bank credit card,10765.38042,81.50184832,0.02572694,0.000194772
fincare small finance,10083.33151,11101.32655,0.02409699,0.026529773
dakshin bihar gramin erstwhile madhya bihar gramin,9954.090455,10337.75759,0.023788132,0.024705008
yes bank,9134.579767,7994.668522,0.021829678,0.019105531
indus ind bank,8892.409153,8148.397319,0.021250942,0.01947291
baroda gujarat gramin,8816.235226,7127.49721,0.021068903,0.017033179
deutsche,8671.437655,1470.92215,0.020722868,0.003515186
deutsche bank,8590.429186,811.0620038,0.020529275,0.001938263
idfc first,8522.208942,7370.471245,0.020366243,0.017613834
the kalupur commercial coop bank,8248.989252,6718.048212,0.019713307,0.016054684
the varachha coop bank ltd surat,8198.392768,5911.479144,0.019592392,0.014127158
bassein catholic cooperative bank,8051.728376,6301.789996,0.019241896,0.015059917
paytm,7784.710679,420733.1886,0.018603781,1.005461454
dombivli nagarik sahakari,7767.2067,5395.311199,0.018561951,0.012893629
the kerala state cooperative bank,7726.248821,9342.902653,0.01846407,0.02232752
assam gramin vikash,7528.323822,7146.545712,0.017991072,0.017078701
mehsana urban,7459.603042,5569.411708,0.017826844,0.013309691
apna sahakari bank,7250.639379,5867.821479,0.017327466,0.014022826
saurashtra gramin bankimps,7215.909411,5784.132425,0.017244469,0.013822827
the akola district central coopbank,7196.495105,4686.244801,0.017198073,0.011199113
himachal pradesh gramin,7116.472986,6448.85438,0.017006837,0.015411369
rajkot nagrik sahakari bank,7031.554007,5858.709721,0.016803899,0.014001051
kotak mahindra bank credit card,6455.450384,18.55837128,0.015427136,4.44E-05
the andhra pradesh state cooperative bank,6365.215001,4336.901992,0.015211492,0.010364259
the nainital bank,6362.74959,5653.793167,0.015205601,0.013511345
ahmedabad district,6272.67094,5114.405061,0.014990332,0.012222324
kalyan janata sahakari,6243.853345,4538.858133,0.014921464,0.010846891
federal bank,6114.297154,5900.981754,0.014611853,0.014102072
the satara district central coop bank ltd satara,6065.7287,4534.034055,0.014495785,0.010835362
tamil nadu grama,6017.112926,6370.584767,0.014379604,0.015224322
nsdl payments,6003.104508,6069.847444,0.014346126,0.014505624
mahanagar,5903.551831,4345.603185,0.014108217,0.010385053
the hongkong and shanghai banking corporation limi,5773.252646,2304.43436,0.01379683,0.0055071
tripura gramin,5772.594742,3817.217723,0.013795258,0.009122326
jammu and kashmir gramin,5664.762331,5824.355037,0.013537562,0.013918951
general post office,5626.542332,3821.49192,0.013446224,0.00913254
nkgsb,5500.526574,4559.698553,0.013145073,0.010896695
the sabarkantha dist cent coop bank,5456.317096,3368.797718,0.013039422,0.008050699
capital small finance bank,5234.783676,4699.92658,0.012510005,0.011231809
karur vysya bank,4875.075603,4659.749815,0.01165038,0.011135796
aryavart,4685.585344,4646.005629,0.011197539,0.01110295
canara bank credit card,4684.349287,31.83661814,0.011194586,7.61E-05
punjab national bank credit card,4537.705249,33.25045341,0.010844138,7.95E-05
shri chhatrapati rajarshi shahu urban coop bank ltd beed,4392.014541,3891.246515,0.010495969,0.009299239
the surat district,4350.44358,3334.967884,0.010396623,0.007969853
unity small finance,4307.051615,16464.59412,0.010292925,0.039346824
citi,4237.672818,1610.013253,0.010127125,0.003847584
the thane dist central co op bank,4088.207812,3507.453959,0.009769936,0.008382057
the adarsh cooperative urban bank,4008.292116,3371.054462,0.009578955,0.008056092
telangana state cooperative apex bank,3857.952187,3580.594747,0.009219675,0.008556848
paypoint india network private,3738.31582,6783.30095,0.008933769,0.016210624
the warangal district cooperative central bank,3734.018915,3294.144754,0.008923501,0.007872295
saptagiri grameena,3662.858905,3447.438643,0.008753444,0.008238634
surat peoples coop bank,3536.89801,2696.279759,0.008452424,0.006443526
city union bank,3531.023048,3225.844227,0.008438384,0.007709071
reserve bank of india,3500.860572,5589.259818,0.008366303,0.013357124
the municipal cooperative bank,3497.534882,1319.989024,0.008358355,0.003154489
jalgaon janata sahakari bank ltd jalgaon,3459.99475,3105.750999,0.008268642,0.007422074
the baramati sahakari,3311.774739,2774.214733,0.007914428,0.006629774
janata sahakari bank,3290.729266,2666.141371,0.007864134,0.006371502
shivalik small finance,3114.22694,2903.870216,0.007442331,0.006939623
suco souharda sahakari bank,2957.66952,2697.539785,0.007068193,0.006446537
deogiri nagari sahakari,2873.250711,2496.885406,0.00686645,0.005967017
thane bharat sahakari bank,2871.01363,2266.839035,0.006861104,0.005417256
kallappanna awade ichalkaranji janata sahkari,2834.717933,2383.779092,0.006774365,0.005696717
karnataka bank,2823.044318,3296.20938,0.006746468,0.007877229
bandhan bank,2737.327433,3528.682305,0.006541623,0.008432789
tamilnad mercantile bank,2722.777125,2519.06307,0.006506851,0.006020017
jalgaon peoples coop bank,2699.707459,2543.774064,0.006451719,0.006079071
meghalaya rural,2696.169619,2490.311291,0.006443265,0.005951306
kolhapur dist central coop bank,2652.713216,1916.570594,0.006339413,0.00458019
south indian bank,2600.435708,3001.599216,0.006214481,0.007173174
rajgurunagar sahakari bank,2588.98378,2185.855111,0.006187113,0.005223722
