,remitter_value,remitter_value,beneficiary_value,beneficiary_value,remitter_cv,beneficiary_cv,avg_cv
,mean,std,mean,std,,,
entity name,,,,,,,
gujarat state coop bank,126.61486660000001,80.67994503959774,85.44109251842106,10.448163277986284,0.6372075191966259,0.1222849915657816,0.37974625538120377
gulbarga yadgir dist coop central,0.0,,2.4611136,,,,
gulshan mercantile urban cooperative bank,6.961995098,,7.729386618,,,,
guna nagarik sahakari bank maryaditguna,0.0,,1.13285555,,,,
hadagali urban cooperative bank limited hadagali,0.9997206234444445,0.5141129420088967,0.8912671852777778,0.448743100362433,0.5142566132501781,0.5034888614490782,0.5088727373496282
hamirpur district co operative bank ltd mahoba,1.7447744,,2.566993,,,,
hanamasagar urban co operative bank,0.0,,0.1552771,,,,
haveli sahakari bank maryadit moshi,1.7616738328421053,0.9471734270532193,2.6107346415263155,1.79409598025237,0.5376553873909485,0.6871996685206914,0.61242752795582
hdfc,254493.9340722222,26336.967849974797,247784.4708222222,28632.383217598945,0.10348760549436394,0.11555358220225917,0.10952059384831156
hdfc bank,109210.2104,,81747.07682,,,,
himachal pradesh gramin,374.55120979947367,101.59312601822248,339.41338839473684,85.77381070121689,0.2712396151987152,0.2527119248503603,0.26197577002453776
himatnagar nagarik sahakari bank,10.646073292947369,4.641366632461546,11.245400369578947,8.953137058791548,0.4359698176731772,0.7961599200159712,0.6160648688445742
hindon mercantile,0.3520662,0.29995793921433567,68.79004417,117.53019985656806,0.8519930036292483,1.7085350253027474,1.2802640144659978
hisar centralcooperative bank,9.042164884,,11.81066751,,,,
hitachi payment service private,0.0,0.0,0.48688217500000003,0.3714658789376522,,0.762948199813748,
hooghly district central cooperative bank,1.0069548035,1.5099416961521115,2.0465078145,3.3187831521586135,1.4995128787347918,1.6216811529593178,1.5605970158470548
hsbc,2064.2505811666665,306.3902173196475,1533.5501373333334,228.68370971241237,0.1484268528806628,0.14912046508636942,0.1487736589835161
hutatma sahakari bank ltd walwa,24.977008761578947,5.0570521875753,20.66995814157895,3.973249096465898,0.20246828736971678,0.1922233740993143,0.19734583073451556
icici,123104.2964277778,5940.168125064623,152619.86566666665,11957.832975174097,0.04825313411014514,0.07835043572434344,0.0633017849172443
icici bank pockets ipp,4.607450921125,0.8775250115590207,0.8959659317499999,0.07561240690300894,0.190457809878256,0.0843920557953837,0.13742493283681984
icici banking corporation,65476.89619,,51995.73483,,,,
idbi,29100.76957722222,2522.4230211785366,23742.500210555554,2450.3865182374807,0.08667891117054477,0.10320675988235123,0.094942835526448
idbi bank,12795.84127,,11243.20865,,,,
idfc,17819.352206,1325.943656361423,17842.851171,1257.1433274616688,0.07441031755997063,0.07045641503219535,0.07243336629608299
idfc bank credit card,672.83627649375,222.28145053559336,5.0938655199375,1.2000993401589262,0.33036484253485127,0.23559698140080676,0.28298091196782904
idfc first,8522.208942,,7370.471245,,,,
idfc first bank,14182.6190275,1219.668040401894,14394.86133375,1095.09527081942,0.08599737735583012,0.07607543035179326,0.0810364038538117
idfc first bank ppi,0.015,0.007071067811865475,0.0,0.0,0.47140452079103173,,
ilkal cooperative bank,1.3617723305263159,0.6902662725739214,1.6296544980526315,0.8296903666960076,0.5068881611856059,0.5091204103001297,0.5080042857428677
imperial urban cooperative bank ltd faziabad,0.6876157,,0.8629848,,,,
indapur urban coop bank,0.7258982,,3.4473022,,,,
india post payments,21358.621583333334,6315.5530191999205,19061.706876666667,5352.214953826732,0.2956910395438676,0.28078361441903976,0.28823732698145366
indian,57326.54940315789,12772.371248473319,50453.684291578946,10739.470863883931,0.22280027982583825,0.2128580105630942,0.21782914519446622
indian bank credit card,22.002081885,2.524482882209928,0.054664253999999995,0.01688232006482575,0.11473836409685412,0.30883655825296275,0.21178746117490843
indian overseas,30283.486711631576,7601.272269170734,25424.002455473685,5710.87678296136,0.25100386694413107,0.22462540243075815,0.23781463468744463
indira mahila sahakari bank ltd malegaon,0.575487,,1.0485922,,,,
indira mahila sahakari bank ltd nandurbar,0.0,,2.004912245,,,,
indira mahilanagari sahakari bank ltd latur,0.8480393,,0.9758409,,,,
indore cloth market co operative bank,0.9505206111666666,0.2626176787993014,1.7334377640555556,0.3057875860919828,0.276288252683932,0.17640528690027,0.226346769792101
indore cloth market coop,0.0,,16.87779429,,,,
indore paraspar sahakari,2.801592248,,6.398937549,,,,
indore paraspar sahakari bank ltd indore,4.765711050888889,1.0364733121299454,4.406969437388889,0.802221788650259,0.21748555484425033,0.18203479739255285,0.19976017611840158
indore premier co operative bank,9.709153485333333,2.924106190563975,8.828390343666666,2.305289395827078,0.3011700448428522,0.26112227779788333,0.28114616132036774
indore premier coop,24.67835723,,34.58240826,,,,
indraprastha seh bank,3.017261172,1.7537779908545148,3.7476167145789474,2.9188213334565676,0.581248321202509,0.7788473463953218,0.6800478337989154
indrayani cooperative bank,14.838799908555554,3.159602306631908,12.7729601975,2.179837226061879,0.2129284258904379,0.17066030053773515,0.19179436321408652
