entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%,net_flow_value,flow_type
dakshin bihar gramin erstwhile madhya bihar gramin,9954.090455,10337.757593,0.023788131600423056,0.024705007964663944,383.6671380000007,Net Receiver
yes bank,9134.579767,7994.668522,0.021829677617889173,0.019105531130329156,-1139.9112449999993,Net Sender
indus ind bank,8892.409153,8148.397319,0.02125094202555853,0.01947290975379919,-744.0118340000008,Net Sender
baroda gujarat gramin,8816.2352262,7127.4972103,0.021068902752012526,0.017033178981466328,-1688.7380159000004,Net Sender
deutsche,8671.4376548,1470.9221504500001,0.020722867752686728,0.0035151862592400283,-7200.51550435,Net Sender
deutsche bank,8590.4291864,811.0620038,0.020529274966308145,0.0019382630211104133,-7779.367182600001,Net Sender
idfc first,8522.208942,7370.471245,0.02036624328009466,0.0176138344484251,-1151.7376969999996,Net Sender
the kalupur commercial coop bank,8248.9892524,6718.0482123,0.019713307086535473,0.0160546843064158,-1530.9410401000005,Net Sender
the varachha coop bank ltd surat,8198.3927683,5911.4791438,0.019592392390438355,0.014127158430317024,-2286.9136245,Net Sender
bassein catholic cooperative bank,8051.7283759,6301.7899955,0.019241896091125064,0.01505991706904469,-1749.9383804,Net Sender
paytm,7784.710679,420733.18863,0.018603781323913104,1.0054614535690831,412948.477951,Net Receiver
dombivli nagarik sahakari,7767.2066995,5395.3111991999995,0.018561950584102222,0.012893628521366371,-2371.8955003,Net Sender
the kerala state cooperative bank,7726.2488209,9342.9026533,0.018464070078533623,0.022327519521172467,1616.6538323999994,Net Receiver
assam gramin vikash,7528.32382219,7146.5457116,0.017991071974124993,0.017078700785600143,-381.7781105900003,Net Sender
mehsana urban,7459.6030415,5569.4117084,0.017826844114017856,0.013309691137242612,-1890.1913330999996,Net Sender
apna sahakari bank,7250.639378569,5867.821479104,0.01732746598037711,0.014022826040596102,-1382.8178994649998,Net Sender
saurashtra gramin bankimps,7215.9094108,5784.1324251,0.01724446883990483,0.013822827276151865,-1431.7769857000003,Net Sender
the akola district central coopbank,7196.49510453,4686.24480113,0.017198072830689373,0.011199112969593661,-2510.2503034,Net Sender
himachal pradesh gramin,7116.47298619,6448.8543795,0.01700683720844722,0.015411369184781913,-667.61860669,Net Sender
rajkot nagrik sahakari bank,7031.5540065000005,5858.7097208,0.01680389914259665,0.01400105090614868,-1172.844285700001,Net Sender
kotak mahindra bank credit card,6455.450384,18.558371282,0.015427135605087641,4.435049924593454e-05,-6436.892012718,Net Sender
the andhra pradesh state cooperative bank,6365.21500094,4336.90199181,0.01521149248059025,0.010364259104139063,-2028.31300913,Net Sender
the nainital bank,6362.7495898,5653.7931668,0.01520560067913309,0.013511344598652225,-708.9564229999996,Net Sender
ahmedabad district,6272.6709403,5114.4050608,0.014990332114076197,0.012222323518897156,-1158.2658795000007,Net Sender
kalyan janata sahakari,6243.8533448,4538.8581331000005,0.014921464269519144,0.010846890664629577,-1704.9952116999993,Net Sender
federal bank,6114.297154,5900.981754,0.014611852886105215,0.014102071935853973,-213.3153999999995,Net Sender
the satara district central coop bank ltd satara,6065.7286995,4534.0340552,0.014495784743817559,0.010835362160321991,-1531.6946443000006,Net Sender
tamil nadu grama,6017.11292622,6370.58476674,0.014379603519840429,0.015224321714454666,353.4718405200001,Net Receiver
nsdl payments,6003.1045077,6069.847444,0.014346126417660773,0.0145056244644249,66.74293630000011,Net Receiver
mahanagar,5903.5518305000005,4345.6031845,0.014108216967559439,0.010385053075440352,-1557.9486460000007,Net Sender
the hongkong and shanghai banking corporation limi,5773.252646,2304.43436,0.013796829989278878,0.00550710042344144,-3468.8182859999997,Net Sender
tripura gramin,5772.59474188,3817.21772345,0.013795257740176078,0.00912232594083507,-1955.3770184299997,Net Sender
jammu and kashmir gramin,5664.76233057,5824.35503655,0.013537561509402454,0.013918950630495626,159.59270597999966,Net Receiver
general post office,5626.542332,3821.49192,0.01344622394723529,0.009132540347476,-1805.050412,Net Sender
nkgsb,5500.5265737,4559.6985527,0.01314507343471792,0.010896694766493364,-940.8280210000003,Net Sender
the sabarkantha dist cent coop bank,5456.3170964,3368.7977175,0.013039422308806154,0.008050698973492481,-2087.5193789,Net Sender
capital small finance bank,5234.7836758,4699.92658,0.01251000516246331,0.01123180946619008,-534.8570958,Net Sender
karur vysya bank,4875.075603,4659.749815,0.011650380366789202,0.011135795674960198,-215.3257880000001,Net Sender
aryavart,4685.5853438,4646.0056287,0.011197539472563283,0.011102950038084433,-39.57971510000061,Net Sender
canara bank credit card,4684.3492869,31.836618143,0.01119458556287804,7.608264149309886e-05,-4652.512668757,Net Sender
punjab national bank credit card,4537.7052486,33.250453412,0.010844137905478498,7.946140243493203e-05,-4504.454795188,Net Sender
shri chhatrapati rajarshi shahu urban coop bank ltd beed,4392.0145407,3891.2465146,0.010495968502342008,0.00929923876341988,-500.76802610000004,Net Sender
the surat district,4350.4435801,3334.9678837,0.010396622862880586,0.007969852977061091,-1015.4756963999998,Net Sender
unity small finance,4307.05161494,16464.59412468,0.010292925414852216,0.03934682404050626,12157.54250974,Net Receiver
citi,4237.672818,1610.013253,0.010127125037675742,0.003847583954329959,-2627.659565,Net Sender
the thane dist central co op bank,4088.207812,3507.4539588000002,0.009769935875244525,0.008382057444113458,-580.7538531999999,Net Sender
the adarsh cooperative urban bank,4008.2921157,3371.05446207,0.009578954578749582,0.008056092105617559,-637.2376536299998,Net Sender
telangana state cooperative apex bank,3857.9521872,3580.5947465,0.009219674540043504,0.00855684813023806,-277.3574407000001,Net Sender
paypoint india network private,3738.31581963,6783.30095045,0.00893376939694505,0.016210624257726267,3044.9851308199995,Net Receiver
the warangal district cooperative central bank,3734.01891526,3294.14475366,0.008923500721259402,0.007872294512983387,-439.8741616000002,Net Sender
saptagiri grameena,3662.85890471,3447.43864265,0.008753443627313605,0.008238633800238161,-215.4202620599999,Net Sender
surat peoples coop bank,3536.89800977,2696.27975916,0.008452424226406444,0.006443526299176784,-840.6182506099999,Net Sender
city union bank,3531.023048,3225.844227,0.008438384333523815,0.0077090710053758366,-305.17882099999997,Net Sender
reserve bank of india,3500.860572,5589.259818,0.008366302514323326,0.013357123832519153,2088.3992460000004,Net Receiver
the municipal cooperative bank,3497.5348816,1319.98902363,0.008358354830780053,0.003154488683709275,-2177.54585797,Net Sender
jalgaon janata sahakari bank ltd jalgaon,3459.9947496,3105.750999,0.008268642003239422,0.007422074127421262,-354.2437506000001,Net Sender
the baramati sahakari,3311.7747388,2774.2147334,0.00791442811110471,0.006629774055714315,-537.5600053999997,Net Sender
janata sahakari bank,3290.7292655,2666.1413711,0.007864133964118924,0.0063715020608092095,-624.5878944000001,Net Sender
